evaluator,caseId,choice,answeredAt
2,case_001,B,2026-08-13T06:39:49.221473Z
2,case_002,A,2026-08-13T06:40:40.488974Z
2,case_003,B,2026-08-13T06:40:59.561924Z
2,case_004,B,2026-08-13T06:41:15.629854Z
2,case_005,B,2026-08-13T06:41:48.273716Z
2,case_006,A,2026-08-13T06:41:58.586421Z
2,case_007,B,2026-08-13T06:44:32.505899Z
2,case_008,A,2026-08-13T06:44:49.518885Z
2,case_009,A,2026-08-13T06:45:09.009945Z
2,case_010,A,2026-08-13T06:45:22.700546Z
2,case_011,A,2026-08-13T06:58:18.010445Z
2,case_012,B,2026-08-13T06:58:24.639678Z
2,case_013,B,2026-08-13T06:58:32.101280Z
2,case_014,A,2026-08-13T06:58:37.155303Z
2,case_015,B,2026-08-13T06:58:43.213982Z
2,case_016,A,2026-08-13T06:58:48.169438Z
2,case_017,A,2026-08-13T06:58:54.029452Z
2,case_018,B,2026-08-13T06:58:58.196849Z
2,case_019,B,2026-08-13T06:59:05.247874Z
2,case_020,A,2026-08-13T06:59:09.269896Z
2,case_021,A,2026-08-13T06:59:17.504543Z
2,case_022,B,2026-08-13T06:59:23.603466Z
2,case_023,A,2026-08-13T06:59:28.640428Z
2,case_024,B,2026-08-13T06:59:32.935326Z
2,case_025,A,2026-08-13T06:59:38.140752Z
2,case_026,B,2026-08-13T06:59:44.001578Z
2,case_027,B,2026-08-13T06:59:48.628704Z
2,case_028,A,2026-08-13T06:59:52.441209Z
2,case_029,A,2026-08-13T06:59:57.503317Z
2,case_030,B,2026-08-13T07:00:01.120731Z
2,case_031,A,2026-08-13T07:00:07.503590Z
2,case_032,B,2026-08-13T07:00:11.459227Z
2,case_033,A,2026-08-13T07:00:16.196759Z
2,case_034,A,2026-08-13T07:00:20.533212Z
2,case_035,A,2026-08-13T07:00:25.366603Z
2,case_036,B,2026-08-13T07:00:29.091988Z
2,case_037,A,2026-08-13T07:00:35.784978Z
2,case_038,B,2026-08-13T07:00:41.846812Z
2,case_039,B,2026-08-13T07:00:45.762904Z
2,case_040,A,2026-08-13T07:00:52.423250Z
2,case_041,A,2026-08-13T07:00:56.199009Z
2,case_042,A,2026-08-13T07:00:59.926849Z
2,case_043,A,2026-08-13T07:01:03.461680Z
2,case_044,B,2026-08-13T07:01:06.886841Z
2,case_045,A,2026-08-13T07:01:11.099506Z
2,case_046,B,2026-08-13T07:01:16.238306Z
2,case_047,A,2026-08-13T07:01:20.439720Z
2,case_048,A,2026-08-13T07:01:23.767940Z
2,case_049,A,2026-08-13T07:01:30.156771Z
2,case_050,A,2026-08-13T07:01:34.002433Z
2,case_051,A,2026-08-13T07:01:39.887728Z
2,case_052,A,2026-08-13T07:01:43.675007Z
2,case_053,A,2026-08-13T07:01:47.040502Z
2,case_054,A,2026-08-13T07:01:51.568737Z
2,case_055,A,2026-08-13T07:01:54.778499Z
2,case_056,B,2026-08-13T07:02:01.395820Z
2,case_057,B,2026-08-13T07:02:05.687320Z
2,case_058,A,2026-08-13T07:02:09.154601Z
2,case_059,A,2026-08-13T07:02:14.277957Z
2,case_060,B,2026-08-13T07:02:21.586968Z
2,case_061,A,2026-08-13T07:03:17.060850Z
2,case_062,B,2026-08-13T07:03:23.569066Z
2,case_063,A,2026-08-13T07:03:27.189037Z
2,case_064,A,2026-08-13T07:03:37.153874Z
2,case_065,A,2026-08-13T07:03:43.594897Z
2,case_066,A,2026-08-13T07:03:47.431905Z
2,case_067,A,2026-08-13T07:03:51.962410Z
2,case_068,B,2026-08-13T07:03:55.542300Z
2,case_069,B,2026-08-13T07:04:00.468875Z
2,case_070,B,2026-08-13T07:04:09.097137Z
2,case_071,A,2026-08-13T07:04:13.682775Z
2,case_072,A,2026-08-13T07:04:31.639030Z
2,case_073,A,2026-08-13T07:04:36.396265Z
2,case_074,A,2026-08-13T07:04:41.749419Z
2,case_075,B,2026-08-13T07:04:49.049238Z
2,case_076,B,2026-08-13T07:04:53.116333Z
2,case_077,A,2026-08-13T07:04:57.148491Z
2,case_078,B,2026-08-13T07:05:00.626878Z
2,case_079,B,2026-08-13T07:05:05.389100Z
2,case_080,B,2026-08-13T07:05:09.082734Z
2,case_081,A,2026-08-13T07:05:14.509349Z
2,case_082,B,2026-08-13T07:05:18.272539Z
2,case_083,A,2026-08-13T07:05:21.754681Z
2,case_084,B,2026-08-13T07:05:26.429605Z
2,case_085,A,2026-08-13T07:05:31.293200Z
2,case_086,B,2026-08-13T07:05:36.927157Z
2,case_087,A,2026-08-13T07:05:41.580692Z
2,case_088,B,2026-08-13T07:05:46.296665Z
2,case_089,A,2026-08-13T07:05:50.600712Z
2,case_090,A,2026-08-13T07:05:58.583214Z
2,case_091,A,2026-08-13T07:06:04.064563Z
2,case_092,B,2026-08-13T07:06:10.015643Z
2,case_093,A,2026-08-13T07:06:15.480127Z
2,case_094,B,2026-08-13T07:06:18.948839Z
2,case_095,A,2026-08-13T07:06:23.042693Z
2,case_096,B,2026-08-13T07:06:26.922630Z
2,case_097,A,2026-08-13T07:06:33.111068Z
2,case_098,B,2026-08-13T07:06:37.087289Z
2,case_099,A,2026-08-13T07:06:40.853095Z
2,case_100,A,2026-08-13T07:06:44.746751Z
2,case_101,A,2026-08-13T07:06:55.806077Z
2,case_102,B,2026-08-13T07:06:59.132829Z
2,case_103,A,2026-08-13T07:07:02.113839Z
2,case_104,B,2026-08-13T07:07:07.200726Z
2,case_105,B,2026-08-13T07:07:12.464080Z
2,case_106,A,2026-08-13T07:07:16.481197Z
2,case_107,A,2026-08-13T07:07:20.508398Z
2,case_108,B,2026-08-13T07:07:26.143489Z
2,case_109,B,2026-08-13T07:07:31.933575Z
2,case_110,A,2026-08-13T07:07:39.680479Z
2,case_111,B,2026-08-13T07:07:43.571870Z
2,case_112,A,2026-08-13T07:07:51.743116Z
2,case_113,B,2026-08-13T07:07:55.752391Z
2,case_114,B,2026-08-13T07:07:59.309247Z
2,case_115,A,2026-08-13T07:08:03.612822Z
2,case_116,B,2026-08-13T07:08:09.296407Z
2,case_117,A,2026-08-13T07:08:12.915219Z
2,case_118,B,2026-08-13T07:08:16.106808Z
2,case_119,B,2026-08-13T07:08:20.750321Z
2,case_120,A,2026-08-13T07:08:24.760222Z
